original,Date,Open,High,Low,Close,Adj Close,Volume
20190506,2019-05-06,33.65,33.9,33,33.1,32.009,1220260
20190507,2019-05-07,33.3,33.9,32.9,33.1,32.009,949150
20190508,2019-05-08,32.7,33,32.35,32.35,31.2837,1127910
20190509,2019-05-09,32.65,32.8,31,31.1,30.0749,1937960
20190510,2019-05-10,31.5,32.2,31.4,32,30.9452,1098030
20190513,2019-05-13,32,32.8,32,32.7,31.6221,778440
20190514,2019-05-14,32.45,32.6,32,32.4,31.332,1091640
20190515,2019-05-15,32.6,33.1,32.3,32.9,31.8155,1460060
20190516,2019-05-16,32.95,33,32.45,32.6,31.5254,776200
20190517,2019-05-17,32.7,32.7,32,32.15,31.0903,938600
20190520,2019-05-20,32.1,32.9,32.1,32.7,31.6221,960860
20190521,2019-05-21,32.7,33.25,32.6,33.05,31.9606,1716340
20190522,2019-05-22,33.05,33.6,33.05,33.2,32.1057,1262730
20190523,2019-05-23,33,33.4,32.6,33.4,32.2991,795270
20190524,2019-05-24,33.1,33.25,32.5,32.5,31.4287,1510920
20190527,2019-05-27,32.5,32.7,32.4,32.6,31.5254,526030
20190528,2019-05-28,32.5,32.8,32.15,32.3,31.2353,881610
20190529,2019-05-29,32.3,32.45,31.95,32,30.9452,896960
20190530,2019-05-30,32.2,32.3,31.8,31.8,30.7518,671830
20190531,2019-05-31,31.65,31.9,31.45,31.5,30.4617,914150
20190603,2019-06-03,31.4,31.5,30.6,30.6,29.5914,1299050
20190604,2019-06-04,30.6,32,30.55,32,30.9452,867040
20190605,2019-06-05,32,32.2,31.4,31.4,30.365,482730
20190606,2019-06-06,31.4,31.7,30.9,31.3,30.2683,329600
20190607,2019-06-07,31.3,31.7,31.3,31.7,30.6551,459310
20190610,2019-06-10,31.8,32.1,31.7,31.7,30.6551,471530
20190611,2019-06-11,31.8,32,31.6,31.9,30.8485,584390
20190612,2019-06-12,31.7,31.9,31.45,31.5,30.4617,351310
20190613,2019-06-13,31.4,31.75,31.4,31.5,30.4617,289140
20190614,2019-06-14,31.7,32.25,31.5,32.15,31.0903,1589620
20190617,2019-06-17,32.2,32.55,31.95,32.1,31.0419,693710
20190618,2019-06-18,31.9,32.1,31.7,32,30.9452,273680
20190619,2019-06-19,32.4,32.4,31.95,32,30.9452,461820
20190620,2019-06-20,32,32.7,31.9,32.65,31.5738,1142380
20190621,2019-06-21,32.7,32.95,32.45,32.5,31.4287,501660
20190624,2019-06-24,32.65,33,32.4,32.6,31.5254,750120
20190625,2019-06-25,32.6,32.7,32.1,32.1,31.0419,734450
20190626,2019-06-26,32,32.55,31.9,32.5,31.4287,1052510
20190627,2019-06-27,32.45,32.45,32,32,30.9452,664820
20190628,2019-06-28,32,32.2,31.4,31.7,30.6551,653190
20190701,2019-07-01,32.2,32.5,32.1,32.35,31.2837,550440
20190702,2019-07-02,32.1,32.4,32.05,32.05,30.9936,454740
20190703,2019-07-03,32,32.4,32,32.1,31.0419,409880
20190704,2019-07-04,32.4,32.85,32.2,32.8,31.7188,1147150
20190705,2019-07-05,32.65,33.2,32.6,32.8,31.7188,1204780
20190708,2019-07-08,32.9,32.9,32.4,32.55,31.4771,564180
20190709,2019-07-09,32.4,32.7,32.4,32.6,31.5254,403680
20190710,2019-07-10,32.6,32.85,32.4,32.4,31.332,699090
20190711,2019-07-11,32.6,33.5,32.4,33.45,32.3474,2461040
20190712,2019-07-12,33.5,33.8,33.3,33.4,32.2991,1417000
20190715,2019-07-15,33.3,33.5,33.25,33.3,32.2024,913470
20190716,2019-07-16,33.45,34.55,33.45,34.55,33.4112,3287930
20190717,2019-07-17,34.5,34.9,34.25,34.55,33.4112,1551860
20190718,2019-07-18,34.45,34.7,34.2,34.7,33.5562,1442460
20190719,2019-07-19,35,35.4,34.7,34.9,33.7496,1713010
20190722,2019-07-22,35.2,35.95,35,35.75,34.5716,2863060
20190723,2019-07-23,35.75,35.75,34.7,35.25,34.0881,2132860
